"wordrep"	"letters"	"word_accuracy"	"iksis"	"responses"	"suppression"	"subject"
"316"	"they"	"t"	1	112	"t"	"Normal"	"p10crandom.txt"
"317"	"they"	"h"	1	168	"h"	"Normal"	"p10crandom.txt"
"318"	"they"	"e"	1	73	"e"	"Normal"	"p10crandom.txt"
"319"	"they"	"y"	1	95	"y"	"Normal"	"p10crandom.txt"
"320"	"do"	"d"	1	488	"d"	"Normal"	"p10crandom.txt"
"321"	"do"	"o"	1	464	"o"	"Normal"	"p10crandom.txt"
"322"	"not"	"n"	1	216	"n"	"Normal"	"p10crandom.txt"
"323"	"not"	"o"	1	152	"o"	"Normal"	"p10crandom.txt"
"324"	"not"	"t"	1	112	"t"	"Normal"	"p10crandom.txt"
"325"	"ewaste"	"e"	0	161	"e"	"Normal"	"p10crandom.txt"
"326"	"ewaste"	"w"	0	647	"w"	"Normal"	"p10crandom.txt"
"327"	"ewaste"	"a"	0	376	"a"	"Normal"	"p10crandom.txt"
"328"	"ewaste"	"s"	0	88	"s"	"Normal"	"p10crandom.txt"
"329"	"ewaste"	"t"	0	696	"t"	"Normal"	"p10crandom.txt"
"330"	"ewaste"	"e"	0	72	"e"	"Normal"	"p10crandom.txt"
"331"	"valuable"	"v"	1	576	"v"	"Normal"	"p10crandom.txt"
"332"	"valuable"	"a"	1	64	"a"	"Normal"	"p10crandom.txt"
"333"	"valuable"	"l"	1	352	"l"	"Normal"	"p10crandom.txt"
"334"	"valuable"	"u"	1	560	"u"	"Normal"	"p10crandom.txt"
"335"	"valuable"	"a"	1	96	"a"	"Normal"	"p10crandom.txt"
"336"	"valuable"	"b"	1	144	"b"	"Normal"	"p10crandom.txt"
"337"	"valuable"	"l"	1	440	"l"	"Normal"	"p10crandom.txt"
"338"	"valuable"	"e"	1	120	"e"	"Normal"	"p10crandom.txt"
"339"	"time"	"t"	1	320	"t"	"Normal"	"p10crandom.txt"
"340"	"time"	"i"	1	144	"i"	"Normal"	"p10crandom.txt"
"341"	"time"	"m"	1	208	"m"	"Normal"	"p10crandom.txt"
"342"	"time"	"e"	1	72	"e"	"Normal"	"p10crandom.txt"
"343"	"on"	"o"	1	104	"o"	"Normal"	"p10crandom.txt"
