"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"223"	"partyl"	"t"	0	"partly"	1	6	0.833333333333333	200	"t"	"Normal"	"p10crandom.txt"
"224"	"partyl"	"y"	0	"partly"	1	6	0.833333333333333	249	"y"	"Normal"	"p10crandom.txt"
"225"	"partyl"	"l"	0	"partly"	1	6	0.833333333333333	207	"l"	"Normal"	"p10crandom.txt"
"226"	"trained"	"t"	1	"trained"	0	7	1	864	"t"	"Normal"	"p10crandom.txt"
"227"	"trained"	"r"	1	"trained"	0	7	1	56	"r"	"Normal"	"p10crandom.txt"
"228"	"trained"	"a"	1	"trained"	0	7	1	216	"a"	"Normal"	"p10crandom.txt"
"229"	"trained"	"i"	1	"trained"	0	7	1	136	"i"	"Normal"	"p10crandom.txt"
"230"	"trained"	"n"	1	"trained"	0	7	1	176	"n"	"Normal"	"p10crandom.txt"
"231"	"trained"	"e"	1	"trained"	0	7	1	89	"e"	"Normal"	"p10crandom.txt"
"232"	"trained"	"d"	1	"trained"	0	7	1	199	"d"	"Normal"	"p10crandom.txt"
"233"	"dog,"	"d"	1	"dog,"	0	4	1	600	"d"	"Normal"	"p10crandom.txt"
"234"	"dog,"	"o"	1	"dog,"	0	4	1	424	"o"	"Normal"	"p10crandom.txt"
"235"	"dog,"	"g"	1	"dog,"	0	4	1	80	"g"	"Normal"	"p10crandom.txt"
"236"	"dog,"	","	1	"dog,"	0	4	1	888	","	"Normal"	"p10crandom.txt"
"237"	"as"	"a"	1	"as"	0	2	1	184	"a"	"Normal"	"p10crandom.txt"
"238"	"as"	"s"	1	"as"	0	2	1	96	"s"	"Normal"	"p10crandom.txt"
"239"	"some"	"s"	1	"some"	0	4	1	80	"s"	"Normal"	"p10crandom.txt"
"240"	"some"	"o"	1	"some"	0	4	1	96	"o"	"Normal"	"p10crandom.txt"
"241"	"some"	"m"	1	"some"	0	4	1	200	"m"	"Normal"	"p10crandom.txt"
