"iksis"	"letters"	"words"	"closest"	"accuracy"	"distance"	"propCorrect"	"suppression"	"subject"	"VoiceCondition"	"ChunkCondition"	"LetterPosition"	"LetterType"
"149"	312	"a"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"150"	280	"b"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"151"	176	"l"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"152"	192	"e"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	8	"Middle"
"153"	536	" "	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"154"	504	"s"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"155"	192	"u"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"156"	248	"b"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"157"	256	"j"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"158"	432	"e"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"159"	248	"c"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"160"	720	"t"	"subject"	"subject"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"161"	512	" "	"for"	"for"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"162"	392	"f"	"for"	"for"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"163"	104	"o"	"for"	"for"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"164"	136	"r"	"for"	"for"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"165"	216	" "	"this"	"this"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"166"	912	"t"	"this"	"this"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"167"	136	"h"	"this"	"this"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"168"	216	"i"	"this"	"this"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"169"	136	"s"	"this"	"this"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"170"	288	" "	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"171"	248	"s"	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"172"	280	"p"	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"173"	200	"o"	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"174"	184	"r"	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"175"	192	"t"	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"176"	1008	"."	"sport."	"sport"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"177"	2088	" "	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"178"	1769	"w"	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"179"	367	"h"	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"180"	208	"e"	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"181"	168	"r"	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"182"	192	"e"	"where"	"where"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"183"	3264	" "	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"184"	232	"t"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"185"	104	"h"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"186"	216	"e"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"187"	248	" "	"main"	"main"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"188"	208	"m"	"main"	"main"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
